T_set,l_on,dT_err,p_term,i_term,Temperature,time,T_error,pidVal,d_term
74.0,False,0.0,0.0,0.0,30.437,0.0,-43.563,0.0,0.0
74.0,True,0.0,43.563,-0.0,30.437,10.0,-43.563,43.563,-0.0
74.0,True,0.0063,43.5,-0.0,30.5,20.0,-43.5,42.87,-0.63
74.0,True,0.0062,43.438,-0.0,30.562,30.0,-43.438,42.818,-0.62
74.0,True,0.0125,43.313,-0.0,30.687,40.0,-43.313,42.063,-1.25
74.0,True,0.0063,43.25,-0.0,30.75,50.0,-43.25,42.62,-0.63
74.0,True,0.0062,43.188,-0.0,30.812,60.0,-43.188,42.568,-0.62
74.0,True,0.0063,43.125,-0.0,30.875,70.0,-43.125,42.495,-0.63
74.0,True,0.0125,43.0,-0.0,31.0,80.0,-43.0,41.75,-1.25
74.0,True,0.0062,42.938,-0.0,31.062,90.0,-42.938,42.318,-0.62
74.0,True,0.0063,42.875,-0.0,31.125,100.0,-42.875,42.245,-0.63
74.0,True,0.0125,42.75,-0.0,31.25,110.0,-42.75,41.5,-1.25
74.0,True,0.0062,42.688,-0.0,31.312,120.0,-42.688,42.068,-0.62
74.0,True,0.0125,42.563,-0.0,31.437,130.0,-42.563,41.313,-1.25
74.0,True,0.0125,42.438,-0.0,31.562,140.0,-42.438,41.188,-1.25
74.0,True,0.0063,42.375,-0.0,31.625,150.0,-42.375,41.745,-0.63
74.0,True,0.0062,42.313,-0.0,31.687,160.0,-42.313,41.693,-0.62
74.0,True,0.0063,42.25,-0.0,31.75,170.0,-42.25,41.62,-0.63
74.0,True,0.0062,42.188,-0.0,31.812,180.0,-42.188,41.568,-0.62
74.0,True,0.0063,42.125,-0.0,31.875,190.0,-42.125,41.495,-0.63
74.0,True,0.0062,42.063,-0.0,31.937,200.0,-42.063,41.443,-0.62
74.0,True,0.0063,42.0,-0.0,32.0,210.0,-42.0,41.37,-0.63
74.0,True,0.0062,41.938,-0.0,32.062,220.0,-41.938,41.318,-0.62
74.0,True,0.0125,41.813,-0.0,32.187,230.0,-41.813,40.563,-1.25
74.0,True,0.0063,41.75,-0.0,32.25,240.0,-41.75,41.12,-0.63
74.0,True,0.0062,41.688,-0.0,32.312,250.0,-41.688,41.068,-0.62
74.0,True,0.0063,41.625,-0.0,32.375,260.0,-41.625,40.995,-0.63
74.0,True,0.0062,41.563,-0.0,32.437,270.0,-41.563,40.943,-0.62
74.0,True,0.0063,41.5,-0.0,32.5,280.0,-41.5,40.87,-0.63
74.0,True,0.0125,41.375,-0.0,32.625,290.0,-41.375,40.125,-1.25
74.0,True,0.0062,41.313,-0.0,32.687,300.0,-41.313,40.693,-0.62
74.0,True,0.0063,41.25,-0.0,32.75,310.0,-41.25,40.62,-0.63
74.0,True,0.0125,41.125,-0.0,32.875,320.0,-41.125,39.875,-1.25
74.0,True,0.0,41.125,-0.0,32.875,330.0,-41.125,41.125,-0.0
