T_set,l_on,dT_err,p_term,i_term,Temperature,time,T_error,pidVal,d_term
74.0,False,0.0,0.0,0.0,53.937,0.0,-20.063,0.0,0.0
74.0,True,0.0,20.063,-0.0,53.937,0.166666666667,-20.063,20.063,-0.0
74.0,True,0.0063,20.0,-0.0,54.0,0.333333333333,-20.0,19.37,-0.63
74.0,True,0.0062,19.938,-0.0,54.062,0.5,-19.938,19.318,-0.62
74.0,True,0.0063,19.875,-0.0,54.125,0.666666666667,-19.875,19.245,-0.63
74.0,True,0.0062,19.813,-0.0,54.187,0.833333333333,-19.813,19.193,-0.62
74.0,True,0.0,19.813,-0.0,54.187,1.0,-19.813,19.813,-0.0
74.0,True,0.0125,19.688,-0.0,54.312,1.16666666667,-19.688,18.438,-1.25
74.0,True,0.0063,19.625,-0.0,54.375,1.33333333333,-19.625,18.995,-0.63
74.0,True,0.0,19.625,-0.0,54.375,1.5,-19.625,19.625,-0.0
74.0,True,0.0,19.625,-0.0,54.375,1.66666666667,-19.625,19.625,-0.0
74.0,True,0.0062,19.563,-0.0,54.437,1.83333333333,-19.563,18.943,-0.62
74.0,True,0.0,19.563,-0.0,54.437,2.0,-19.563,19.563,-0.0
74.0,True,0.0063,19.5,-0.0,54.5,2.16666666667,-19.5,18.87,-0.63
74.0,True,0.0062,19.438,-0.0,54.562,2.33333333333,-19.438,18.818,-0.62
74.0,True,0.0063,19.375,-0.0,54.625,2.5,-19.375,18.745,-0.63
74.0,True,0.0062,19.313,-0.0,54.687,2.66666666667,-19.313,18.693,-0.62
74.0,True,0.0063,19.25,-0.0,54.75,2.83333333333,-19.25,18.62,-0.63
74.0,True,0.0062,19.188,-0.0,54.812,3.0,-19.188,18.568,-0.62
74.0,True,0.0063,19.125,-0.0,54.875,3.16666666667,-19.125,18.495,-0.63
74.0,True,0.0062,19.063,-0.0,54.937,3.33333333333,-19.063,18.443,-0.62
74.0,True,0.0063,19.0,-0.0,55.0,3.5,-19.0,18.37,-0.63
74.0,True,0.0062,18.938,-0.0,55.062,3.66666666667,-18.938,18.318,-0.62
74.0,True,0.0063,18.875,-0.0,55.125,3.83333333333,-18.875,18.245,-0.63
74.0,True,0.0062,18.813,-0.0,55.187,4.0,-18.813,18.193,-0.62
74.0,True,0.0063,18.75,-0.0,55.25,4.16666666667,-18.75,18.12,-0.63
74.0,True,0.0062,18.688,-0.0,55.312,4.33333333333,-18.688,18.068,-0.62
74.0,True,0.0125,18.563,-0.0,55.437,4.5,-18.563,17.313,-1.25
74.0,True,0.0063,18.5,-0.0,55.5,4.66666666667,-18.5,17.87,-0.63
74.0,True,0.0062,18.438,-0.0,55.562,4.83333333333,-18.438,17.818,-0.62
74.0,True,0.0063,18.375,-0.0,55.625,5.0,-18.375,17.745,-0.63
